Theme	Layer Name	Subject Keyword	Location Key	URL
Renewable Energy	BOEM Active Renewable Energy Lease Areas	Wind Energy	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=wind%20energy&geo=Mid%20Atlantic
Renewable Energy	BOEM Wind Planning Areas	Wind Energy	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=wind%20energy&geo=Mid%20Atlantic
Renewable Energy	Coastal Energy Facilities	Power Plants	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=power%20plants&geo=Mid%20Atlantic
Renewable Energy	Department of Defense Offshore Wind Mission Compatibility Assessments	Wind Energy	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=wind%20energy&geo=Mid%20Atlantic
Renewable Energy	Virginia Research Lease Areas	Wind Energy	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=wind%20energy&geo=Mid%20Atlantic
Renewable Energy	Wind Speed	Wind Energy	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=wind%20energy&geo=Mid%20Atlantic
				
Maritime	Aids to Navigation	Aids to Navigation 	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=aids%20to%20navigation&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2011 - ALL	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2011 - Cargo	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2011 - Passenger	Passenger	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=passenger&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2011 - Tanker	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2011 - Tug & Tow	Tugboat	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=tugboat&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2012 - ALL	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2012 - Cargo	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2012 - Passenger	Passenger	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=passenger&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2012 - Tanker	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2012 - Tug & Tow	Tugboat	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=tugboat&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2013 - ALL	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2013 - Cargo	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2013 - Passenger	Passenger	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=passenger&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2013 - Tanker	Shipping	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=shipping&geo=Mid%20Atlantic
Maritime	AIS Shipping Data 2013 - Tug & Tow	Tugboat	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=tugboat&geo=Mid%20Atlantic
Maritime	Anchorage Grounds	Anchorage Areas	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=anchorage%20areas&geo=Mid%20Atlantic
Maritime	Federal OCS Sand and Gravel Borrow (Lease Areas)	Offshore sand	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=offshore%20sand&geo=Mid%20Atlantic
Maritime	Maintained Channels	Channels	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=channels&geo=Mid%20Atlantic
Maritime	N. Atlantic Right Whale SMAs	Right Whale	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=right%20whale&geo=Mid%20Atlantic
